filename,loc,site,elev,elevation,species,order,temp_trt,stress,chamber_num,barcode,dryweight,control_corr_mr
MRT91Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,10,ns,1,62691,0.04223,0.006087843
MRT90Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,10,ns,2,62690,0.00797,0.003356
MRT91Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,10,ns,2,62692,0.02643,0.008245153
MRT91Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,10,ns,3,62693,0.02712,0.002501901
MRT90Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,10,ns,4,62688,0.02008,0.002315678
MRT82Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,12.5,ns,1,62584,0.05348,0.00952631
MRT83Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,12.5,ns,1,62586,0.00624,0.002524615
MRT82Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,12.5,ns,2,62585,0.01723,0.00943935
MRT83Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,12.5,ns,2,62668,0.0083,0.002898332
MRT83Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,12.5,ns,3,62669,0.01384,0.00854274
MRT82Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,12.5,ns,4,62583,0.03312,0.007889993
MRT74Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,15,ns,1,62562,0.00909,0.002576845
MRT75Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,15,ns,1,62562,0.00909,0.002515144
MRT74Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,15,ns,3,62560,0.00532,0.002503196
MRT75Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,15,ns,3,62563,0.00953,0.012392552
MRT74Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,15,ns,4,62561,0.01227,0.000831338
MRT75Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,15,ns,4,62564,0.01413,0.023346102
MRT84Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,17.5,ns,1,62671,0.02756,0.006069038
MRT85Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,17.5,ns,1,62675,0.00604,0.003325268
MRT84Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,17.5,ns,2,62672,0.0103,0.003876086
MRT85Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,17.5,ns,3,62673,0.00909,0.007044022
MRT84Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,17.5,ns,4,62670,0.01769,0.007998638
MRT85Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,17.5,ns,4,62674,0.00768,0.003838776
MRT79Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,20,ns,1,62576,0.01763,0.004703848
MRT100Y2014.xlsæ,Ecuador,Edwin's,low,2003,Anacroneuria,P,20,ns,2,62718,0.00619,0.003625684
MRT78Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,20,ns,2,62572,0.0065,0.001807052
MRT79Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,20,ns,2,62577,0.01292,0.012962564
MRT100Y2014.xlsæ,Ecuador,Edwin's,low,2003,Anacroneuria,P,20,ns,3,62719,0.00482,0.001429897
MRT78Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,20,ns,3,62573,0.03129,0.003907226
MRT100Y2014.xlsæ,Ecuador,Edwin's,low,2003,Anacroneuria,P,20,ns,4,62720,0.0115,0.010392514
MRT78Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,20,ns,4,62574,0.01544,0.006502006
MRT79Y2014.xls,Ecuador,Edwin's,low,2798,Anacroneuria,P,20,ns,4,62575,0.0241,0.010260714
MRT103Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,1,62727,0.04219,0.00025345
MRT102Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,2,62724,0.01305,0.008367876
MRT103Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,2,62728,0.01501,0.000665595
MRT104Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,2,62730,0.01052,0.002729935
MRT102Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,3,62725,0.01819,0.012671956
MRT103Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,3,62729,0.02242,0.009302746
MRT104Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,3,62731,0.0277,0.000809296
MRT102Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,4,62726,0.01692,0.006677336
MRT104Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,22.5,,4,62732,0.00908,0.001133098
MRT105Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,25,,1,62734,0.00874,0.001420956
MRT105Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,25,,2,62735,0.00677,0.003047689
MRT105Y2014.xls,Ecuador,Edwin's,low,2003,Anacroneuria,P,25,,4,62733,0.0155,0.001332727
MRT56Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,5,ns,1,62507,0.03384,-0.003334311
MRT57Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,5,ns,1,62511,0.00512,-0.001823901
MRT56Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,5,ns,2,62508,0.02049,-0.004822587
MRT57Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,5,ns,3,62509,0.0092,0.000238546
MRT56Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,5,ns,4,62506,0.01017,0.003187206
MRT57Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,5,ns,4,62510,0.0876,-0.001478208
